TeamName,AdjTempo,AdjOE,AdjDE,eFGPct,TOPct,ORPct,FTRate,eFGPctD,TOPctD,ORPctD,FTRateD
Fordham,64.8225,89.1301,95.9206,45.00891266,18.8772672,21.35135135,27.03505645,47.18654434,21.02908004,26.28624883,33.14984709
Fresno St.,64.1994,105.096,104.068,49.81729598,19.36606007,30.46421663,29.47624848,49.70113568,15.42016043,26.64054848,28.21279139
Furman,68.196,107.665,98.0748,54.58083832,16.59884277,23.47466391,31.55688623,50.71119357,23.02101409,28.39116719,26.83982684
Gardner Webb,66.1797,102.235,106.716,51.83976261,18.11379239,27.36124635,34.77744807,49.35028249,17.62946639,29.95391705,31.41242938
George Mason,67.0194,101.291,101.327,47.61772853,20.08959498,33.1299041,34.40443213,49.55947137,18.88883757,27.84697509,30.56167401
George Washington,66.6051,99.2163,105.756,48.98609502,19.41074523,22.9704797,32.79258401,50.10840108,15.66724437,26.74524025,31.11111111
Georgetown,69.9856,111.004,100.182,49.08901614,18.91149703,32.46753247,33.94065591,50.79405738,18.82414601,28.70448772,26.58811475
Georgia,70.4779,108.213,100.773,50.85378869,20.05444295,31.59752868,33.56456777,50.67885117,17.88997664,30.05181347,31.54046997
Georgia Southern,71.7531,102.168,98.7811,50.24617068,18.27213057,25.96830986,36.21444201,49.51638904,20.7113713,28.67319679,27.61955938
Georgia St.,73.0323,105.648,101.363,50.34852547,18.94075404,30.91743119,31.26005362,46.86781609,20.78096948,32.90909091,46.95402299
Georgia Tech,69.9686,103.054,91.7939,49.84939759,22.92572581,29.17933131,34.81927711,44.67048711,19.26886157,28.87892377,35.75931232
Gonzaga,71.9388,121.329,94.3833,57.54299754,15.31188075,33.57335734,38.77149877,47.60848126,18.43250862,22.73838631,21.79487179
Grambling St.,68.7331,93.0978,105.09,47.5974026,20.27356644,28.06451613,38.83116883,48.49529781,19.96946294,29.16235781,36.42633229
Grand Canyon,68.0003,103.38,112.06,50.72830906,16.91803113,23.24840764,37.4920836,50.96717468,16.05693373,28.62745098,29.89449004
Green Bay,74.0135,105.827,110.467,50.79446438,16.23423685,25.83479789,31.62480779,51.39664804,18.16688409,31.63265306,33.01168106
Hampton,70.8569,104.779,116.729,50.16565433,15.7033115,27.43521001,41.02705687,53.60742706,15.115003,30.99730458,38.14323607
Hartford,68.2431,94.411,101.129,48.60221316,19.61071787,22.82507016,30.3436226,45.96069869,18.67240601,31.01970865,29.47598253
Harvard,68.7502,104.724,99.0385,51.2345679,19.67881723,30.0204918,32.59259259,47.27161251,17.53759878,25.02415459,31.39178418
Hawaii,68.4453,97.6128,100.953,48.79518072,18.64291973,27.58964143,32.22891566,49.16666667,19.0903498,25.90618337,32.4691358
High Point,66.3547,94.5071,113.578,45.71960298,21.56307632,31.15530303,40.50868486,55.57228916,17.81297609,28.71690428,36.02409639
Hofstra,67.9483,108.669,102.611,51.70514166,16.48296871,29.76827094,34.31269675,50.38363171,19.76183883,29.3594306,20.25575448
Holy Cross,68.297,95.9423,117.282,49.29418408,20.50015725,25.34562212,24.56239413,55.85683297,15.37511793,29.31372549,31.39913232
Houston,65.7332,112.73,92.3404,47.96573876,17.76205347,38.73483536,32.92291221,43.91646489,18.19527428,25.28940338,41.6464891
Houston Baptist,76.0951,102.934,122.319,50.33333333,21.41452641,32.12010919,38,58.14014752,16.74386838,32.09393346,36.72286617
Howard,70.2329,93.5915,119.738,48.18029115,20.70574673,25.66371681,33.09070549,53.87776066,18.53319515,36.94885362,34.72008218
Idaho,68.9051,92.7689,107.06,47.92013311,18.76190034,28.69490061,32.22407099,54.44148936,17.09004783,33.52165725,29.5212766
Idaho St.,67.3807,100.779,111.145,47.62484775,21.00759542,23.98414272,30.51157125,51.63104612,16.00807615,26.34615385,29.41507312
